{'param': {'epochs': 700, 'num_features': 7, 'num_classes': 2, 'neurons': (1024, 1024, 1024), 'drop_out': 0.1, 'lr': 0.03}, 'test_auc': 0.5084745762711864, 'test_acc': 0.69411767}
{'param': {'epochs': 600, 'num_features': 7, 'num_classes': 2, 'neurons': (1024, 1024, 1024), 'drop_out': 0.1, 'lr': 0.1}, 'test_auc': 0.5096153846153846, 'test_acc': 0.7}
{'param': {'epochs': 600, 'num_features': 7, 'num_classes': 2, 'neurons': (1024, 1024, 1024), 'drop_out': 0.1, 'lr': 0.03}, 'test_auc': 0.5096153846153846, 'test_acc': 0.69411767}
{'param': {'epochs': 200, 'num_features': 7, 'num_classes': 2, 'neurons': (512, 512, 512), 'drop_out': 0.1, 'lr': 0.3}, 'test_auc': 0.5127118644067796, 'test_acc': 0.69411767}
{'param': {'epochs': 500, 'num_features': 7, 'num_classes': 2, 'neurons': (512, 512, 512), 'drop_out': 0.1, 'lr': 0.3}, 'test_auc': 0.513771186440678, 'test_acc': 0.7}
{'param': {'epochs': 400, 'num_features': 7, 'num_classes': 2, 'neurons': (1024, 1024, 1024), 'drop_out': 0.1, 'lr': 0.03}, 'test_auc': 0.5192307692307692, 'test_acc': 0.7058824}
{'param': {'epochs': 200, 'num_features': 7, 'num_classes': 2, 'neurons': (512, 512, 512), 'drop_out': 0.1, 'lr': 0.03}, 'test_auc': 0.6044654498044328, 'test_acc': 0.7294118}
{'param': {'epochs': 200, 'num_features': 7, 'num_classes': 2, 'neurons': (256, 256, 256), 'drop_out': 0.1, 'lr': 0.03}, 'test_auc': 0.6276890482398958, 'test_acc': 0.7058824}
{'param': {'epochs': 300, 'num_features': 7, 'num_classes': 2, 'neurons': (256, 256, 256), 'drop_out': 0.1, 'lr': 0.03}, 'test_auc': 0.7296284224250326, 'test_acc': 0.69411767}
{'param': {'epochs': 200, 'num_features': 7, 'num_classes': 2, 'neurons': (256, 512, 1024), 'drop_out': 0.1, 'lr': 0.03}, 'test_auc': 0.7673565840938722, 'test_acc': 0.6647059}
{'param': {'epochs': 700, 'num_features': 7, 'num_classes': 2, 'neurons': (256, 256, 256), 'drop_out': 0.1, 'lr': 0.03}, 'test_auc': 0.7723272490221642, 'test_acc': 0.7235294}
{'param': {'epochs': 700, 'num_features': 7, 'num_classes': 2, 'neurons': (512, 512, 512), 'drop_out': 0.1, 'lr': 0.03}, 'test_auc': 0.7904986962190352, 'test_acc': 0.69411767}
{'param': {'epochs': 200, 'num_features': 7, 'num_classes': 2, 'neurons': (256, 256, 256), 'drop_out': 0.1, 'lr': 0.1}, 'test_auc': 0.8041069100391135, 'test_acc': 0.69411767}
{'param': {'epochs': 700, 'num_features': 7, 'num_classes': 2, 'neurons': (1024, 1024, 1024), 'drop_out': 0.1, 'lr': 0.1}, 'test_auc': 0.8098109517601043, 'test_acc': 0.7647059}
